timestamp,index,utilization.gpu,power.draw,memory.used
2026/06/19 10:02:27.122, 7, 0, 16.20, 0
2026/06/19 10:02:28.129, 0, 0, 24.13, 0
2026/06/19 10:02:28.137, 1, 0, 24.11, 0
2026/06/19 10:02:28.144, 2, 0, 24.70, 0
2026/06/19 10:02:28.150, 3, 0, 24.08, 0
2026/06/19 10:02:28.157, 4, 0, 23.93, 0
2026/06/19 10:02:28.164, 5, 0, 15.09, 0
2026/06/19 10:02:28.174, 6, 0, 14.76, 0
2026/06/19 10:02:28.181, 7, 0, 16.16, 0
2026/06/19 10:02:29.188, 0, 0, 24.13, 0
2026/06/19 10:02:29.195, 1, 0, 24.02, 0
2026/06/19 10:02:29.202, 2, 0, 24.70, 0
2026/06/19 10:02:29.210, 3, 0, 24.12, 0
2026/06/19 10:02:29.216, 4, 0, 23.93, 0
2026/06/19 10:02:29.223, 5, 0, 15.04, 0
2026/06/19 10:02:29.233, 6, 0, 15.10, 0
2026/06/19 10:02:29.240, 7, 0, 14.89, 0
2026/06/19 10:02:30.247, 0, 0, 24.17, 0
2026/06/19 10:02:30.255, 1, 0, 24.02, 0
2026/06/19 10:02:30.262, 2, 0, 24.65, 0
2026/06/19 10:02:30.269, 3, 0, 24.17, 0
2026/06/19 10:02:30.276, 4, 0, 23.83, 0
2026/06/19 10:02:30.283, 5, 0, 15.04, 0
2026/06/19 10:02:30.294, 6, 0, 15.35, 0
2026/06/19 10:02:30.300, 7, 0, 19.84, 0
2026/06/19 10:02:31.307, 0, 0, 24.17, 0
2026/06/19 10:02:31.315, 1, 0, 24.16, 0
2026/06/19 10:02:31.322, 2, 0, 24.55, 0
2026/06/19 10:02:31.329, 3, 0, 24.27, 0
2026/06/19 10:02:31.336, 4, 0, 23.78, 0
2026/06/19 10:02:31.343, 5, 0, 14.80, 0
2026/06/19 10:02:31.353, 6, 0, 14.95, 0
2026/06/19 10:02:31.361, 7, 0, 14.94, 0
2026/06/19 10:02:32.368, 0, 0, 24.17, 0
2026/06/19 10:02:32.375, 1, 0, 24.16, 0
2026/06/19 10:02:32.383, 2, 0, 24.55, 0
2026/06/19 10:02:32.390, 3, 0, 24.32, 0
2026/06/19 10:02:32.397, 4, 0, 23.83, 0
2026/06/19 10:02:32.404, 5, 0, 14.70, 0
2026/06/19 10:02:32.414, 6, 0, 14.51, 0
2026/06/19 10:02:32.422, 7, 0, 14.94, 0
2026/06/19 10:02:33.429, 0, 0, 24.22, 0
2026/06/19 10:02:33.436, 1, 0, 24.16, 0
2026/06/19 10:02:33.444, 2, 0, 24.60, 0
2026/06/19 10:02:33.451, 3, 0, 24.22, 0
2026/06/19 10:02:33.459, 4, 0, 23.83, 0
2026/06/19 10:02:33.466, 5, 0, 14.70, 0
2026/06/19 10:02:33.476, 6, 0, 14.42, 0
2026/06/19 10:02:33.484, 7, 0, 14.84, 0
2026/06/19 10:02:34.491, 0, 0, 24.17, 0
2026/06/19 10:02:34.498, 1, 0, 24.21, 0
2026/06/19 10:02:34.506, 2, 0, 24.65, 0
2026/06/19 10:02:34.513, 3, 0, 24.07, 0
2026/06/19 10:02:34.520, 4, 0, 23.78, 0
2026/06/19 10:02:34.528, 5, 0, 14.55, 0
2026/06/19 10:02:34.539, 6, 0, 14.56, 0
2026/06/19 10:02:34.547, 7, 0, 14.84, 0
2026/06/19 10:02:35.554, 0, 0, 24.13, 0
2026/06/19 10:02:35.563, 1, 0, 24.16, 0
2026/06/19 10:02:35.570, 2, 0, 24.70, 0
2026/06/19 10:02:35.578, 3, 0, 24.07, 0
2026/06/19 10:02:35.585, 4, 0, 23.78, 0
2026/06/19 10:02:35.592, 5, 0, 15.24, 0
2026/06/19 10:02:35.604, 6, 0, 15.64, 0
2026/06/19 10:02:35.611, 7, 0, 14.84, 0
2026/06/19 10:02:36.619, 0, 0, 24.13, 0
2026/06/19 10:02:36.626, 1, 0, 24.07, 0
2026/06/19 10:02:36.634, 2, 0, 24.70, 0
2026/06/19 10:02:36.640, 3, 0, 24.17, 0
2026/06/19 10:02:36.648, 4, 0, 23.88, 0
2026/06/19 10:02:36.655, 5, 0, 14.90, 0
2026/06/19 10:02:36.667, 6, 0, 15.30, 0
2026/06/19 10:02:36.674, 7, 0, 14.89, 0
2026/06/19 10:02:37.681, 0, 0, 24.13, 0
2026/06/19 10:02:37.692, 1, 0, 24.02, 0
2026/06/19 10:02:37.699, 2, 0, 24.65, 0
2026/06/19 10:02:37.706, 3, 0, 24.27, 0
2026/06/19 10:02:37.714, 4, 0, 23.88, 0
2026/06/19 10:02:37.720, 5, 0, 14.70, 0
2026/06/19 10:02:37.732, 6, 0, 15.00, 0
2026/06/19 10:02:37.739, 7, 0, 15.82, 0
2026/06/19 10:02:38.747, 0, 0, 24.22, 0
2026/06/19 10:02:38.754, 1, 0, 24.02, 0
2026/06/19 10:02:38.762, 2, 0, 24.55, 0
2026/06/19 10:02:38.768, 3, 0, 24.27, 0
2026/06/19 10:02:38.776, 4, 0, 23.73, 0
2026/06/19 10:02:38.782, 5, 0, 14.94, 0
